,id,following_n,followed_n,following_list,followed_list,commit_n,locations,type_list,bio,public_repos,public_gists
24,1000918,89,27,"[1, 3, 70, 1060, 3416, 4732, 7703, 11172, 15067, 17880, 25254, 27232, 28023, 31945, 33167, 47910, 51664, 52870, 66772, 77193, 80341, 81942, 83247, 84210, 100200, 102660, 105127, 105833, 119296, 123822, 137284, 138050, 140370, 157534, 158963, 166062, 170270, 173299, 194437, 197597, 204502, 210558, 222942, 226063, 311752, 347039, 366132, 371303, 388186, 459673, 491848, 553208, 594365, 615743, 634478, 665874, 687163, 709159, 749374, 764332, 891612, 926355, 1024025, 1086159, 1089650, 1162230, 1375586, 1384693, 1441338, 1443806, 1451907, 1651816, 1655372, 3165635, 3624098, 4259832, 4342845, 4551508, 4800703, 4903591, 4990201, 7150848, 7525670, 8007686, 8975443, 10477267, 12933109, 14931921, 36152574]","[15067, 137284, 226063, 665874, 347039, 891612, 1422092, 615743, 3882132, 1750837, 102660, 613005, 5877145, 4611064, 459673, 764332, 15365718, 4800703, 4069972, 22735014, 28999967, 412895, 6508763, 29286242, 10634210, 32831059, 25737058]",813,"Nantes, France",User,Freelance software developer,22,2
25,10061736,0,20,[],"[10533442, 16733586, 7346683, 491699, 6079160, 1407730, 19293092, 6232001, 229123, 9745239, 5208338, 1032171, 711872, 5186502, 21964709, 30113404, 3865440, 19858274, 10945003, 9332811]",413,,User,,28,19
26,10030099,5,3,"[5441280, 7953442, 9208395, 11275628, 20067256]","[9208395, 7953442, 11275628]",140,Moscow,User,Android/ .NET developer,14,0
27,10040335,154,15,"[714, 1017, 4802, 5010, 5382, 6612, 7659, 8392, 13760, 32127, 35811, 44164, 47009, 51363, 52870, 57446, 58493, 58962, 67184, 74958, 109772, 112175, 124403, 169110, 170201, 170649, 189580, 209606, 212465, 215708, 251980, 278184, 333454, 350427, 353158, 373016, 388550, 429858, 432536, 433320, 435208, 438313, 470729, 475463, 489050, 490622, 528204, 550978, 570889, 584417, 587614, 609957, 681726, 733097, 733409, 739696, 839283, 852624, 876707, 916505, 934316, 959847, 1019875, 1037520, 1064207, 1079727, 1111638, 1117026, 1147451, 1180240, 1250826, 1491282, 1845707, 1910405, 2107245, 2187641, 2245840, 2369682, 2410234, 2911921, 3036816, 3055936, 3170134, 3173562, 3276768, 3361154, 3365146, 3382607, 3511384, 3817366, 3964406, 4347733, 4572275, 4694896, 5073511, 5105794, 5194500, 5253662, 5378545, 5383898, 5517281, 5523568, 5554127, 5634225, 6036272, 6135847, 6189397, 6276527, 6436132, 6673982, 6881916, 6995711, 7226606, 7262715, 7347118, 7363933, 7483751, 7742344, 7802862, 8247157, 8609851, 8857869, 8919794, 8952402, 9589295, 10362781, 10378703, 10386605, 10809541, 10825609, 11379933, 11624840, 11935315, 11997567, 13779953, 13810084, 13974049, 14011711, 15247572, 15663899, 16040198, 16338111, 16347301, 16398564, 16550840, 16551316, 16634163, 17202890, 17741976, 19432029, 19963575, 22094559, 26478957, 32327774]","[2369682, 6673982, 1250826, 1845707, 1079727, 5378545, 11600822, 2565155, 14251570, 9830365, 7304741, 35200180, 21250813, 250445, 584417]",236,Beijing,User,iOS and macOS developer,106,1
28,10000207,0,3,[],"[12432722, 6885372, 18513520]",396,,User,,11,0
29,1006840,1,3,[175838],"[3729313, 175838, 34903]",168,"Minneapolis, MN",User,,8,0
30,10075074,4,1,"[110898, 9871542, 11874406, 20584182]",[20584182],637,France,User,Software engineer,13,0
31,10054434,78,13,"[7659, 98681, 131967, 251980, 349687, 488891, 546885, 573856, 681600, 718440, 733097, 839283, 878260, 931655, 1019875, 1070794, 1156192, 1260081, 1487375, 1528297, 1814071, 2127912, 2410234, 2911921, 3361154, 3817366, 3831495, 5073511, 5105794, 5253662, 5278866, 5511525, 5517281, 5591515, 5723961, 6124571, 6337290, 6346030, 6745066, 6902364, 6939375, 6942765, 7121927, 7149022, 7426363, 7530684, 7720569, 7802862, 8032883, 8285047, 8357630, 8716595, 8814535, 9162639, 9330618, 10377362, 10387295, 10412193, 10696733, 10846266, 11268745, 11532418, 11605807, 11765306, 11977680, 12093291, 12420577, 12929351, 13046550, 13093616, 13111460, 13308894, 13819507, 14787921, 15812211, 15844143, 17583451, 18083149]","[13308894, 8684436, 8576832, 15844143, 14001345, 11315175, 8955033, 15144287, 15060218, 13111460, 11268745, 13333981, 14251570]",206,,User,,182,0
32,1001756,3,9,"[378, 262641, 8530623]","[498049, 1237686, 14980, 688426, 15658932, 772937, 3058791, 1308397, 34801553]",423,Buenos Aires,User,,23,2
33,10047434,33,6,"[46553, 63223, 69385, 124075, 177047, 247332, 367259, 392509, 433085, 436825, 526301, 711908, 795990, 920705, 930608, 1001900, 1024025, 1522517, 1606819, 1612143, 1780970, 1858943, 1914942, 2311316, 3141841, 3536781, 3851145, 3853352, 4171387, 8075948, 10575098, 25157196, 28979857]","[367259, 20527108, 21190924, 6508763, 27891411, 160928]",584,Saint Petersburg,User,,33,1
34,1006193,10,10,"[393274, 464085, 614823, 664369, 675421, 4488661, 5382312, 5930377, 8150805, 25442190]","[664369, 675421, 870482, 4488661, 2356904, 1799456, 1052521, 21334612, 8150805, 614823]",115,Trondheim,User,,6,5
35,10000354,7,10,"[11392560, 11411618, 11424393, 11440475, 11611671, 11978123, 13049237]","[11392560, 13049237, 11424393, 11411618, 11440475, 11978123, 11611671, 1820728, 13049204, 20893144]",375,Ireland,User,,8,0
36,1004034,12,19,"[23264, 23418, 25254, 31598, 39759, 114536, 170270, 598730, 810438, 870472, 1637573, 5487021]","[23418, 31598, 114536, 12907629, 3604053, 4107768, 5131269, 5877145, 16667537, 4069972, 4614970, 31794373, 6508763, 30257640, 1631032, 26788740, 16894698, 22652568, 17067774]",655,,User,,91,0
37,1005453,4,11,"[308248, 3927162, 7445730, 17898317]","[760097, 7445730, 1040227, 8760517, 3927162, 12987761, 17898317, 13427902, 8201408, 22984221, 8691375]",351,,User,,7,6
38,1007521,9,5,"[219, 378, 5572, 12631, 89353, 150330, 262641, 694179, 8070719]","[4107768, 1523379, 694179, 5426278, 4128909]",329,"Madrid, Spain",User,,25,0
39,1003021,0,2,[],"[709908, 17420020]",120,,User,,30,0
40,10000553,10,7,"[97227, 98177, 231074, 245270, 6868785, 8154238, 9404305, 11437641, 16972185, 22714539]","[8154238, 11722837, 16972185, 22714539, 11592272, 11451179, 11437641]",135,"Nanjing,China",User,,4,0
