,following_n,commit_n,public_repos,public_gists,follower_range
198,31,593,158,4,followers100-500
199,11,807,44,14,followers100-500
200,17,581,27,183,followers500-1000
201,150,646,26,15,followers500-1000
202,1187,233,19,0,followers500-1000
203,0,817,39,0,followers500-1000
204,8,173,23,0,followers500-1000
205,6,824,54,3,followers500-1000
206,3,670,43,0,followers500-1000
207,3,624,28,1,followers500-1000
208,40,806,124,11,followers500-1000
209,63,756,74,22,followers500-1000
210,28,707,38,152,followers500-1000
211,63,311,34,4,followers500-1000
212,439,583,4,5,followers500-1000
213,0,404,2,0,followers500-1000
214,29,657,36,3,followers500-1000
215,36,473,8,0,followers500-1000
216,53,773,21,1,followers500-1000
217,67,728,46,1,followers500-1000
218,0,378,103,0,followers500-1000
219,2,550,46,0,followers500-1000
220,7,582,19,0,followers500-1000
221,137,826,29,6,followers500-1000
222,4,334,6,1,followers500-1000
223,0,478,21,1,followers500-1000
224,0,150,14,0,followers500-1000
225,10,184,7,3,followers500-1000
226,1,673,28,11,followers500-1000
227,104,290,29,3,followers500-1000
228,4,248,75,10,followers500-1000
229,13,565,15,0,followers500-1000
230,11,204,13,0,followers500-1000
231,207,572,43,1,followers500-1000
232,0,373,1,1,followers500-1000
233,788,269,5,0,followers500-1000
234,119,458,39,36,followers500-1000
235,1,241,4,4,followers500-1000
236,0,421,5,0,followers500-1000
237,52,599,61,25,followers500-1000
238,39,248,275,6,followers500-1000
239,10,501,79,5,followers500-1000
240,2,703,33,1,followers500-1000
241,0,729,7,0,followers500-1000
242,25,860,76,18,followers500-1000
243,31,348,29,39,followers500-1000
244,74,201,27,54,followers500-1000
245,60,820,115,227,followers500-1000
246,92,515,26,5,followers500-1000
247,0,134,8,0,followers500-1000
248,646,861,291,38,followers500-1000
249,195,518,48,11,followers500-1000
250,151,434,16,6,followers500-1000
251,10,232,51,3,followers500-1000
252,12,435,15,1,followers500-1000
253,8,732,63,12,followers500-1000
254,11,263,28,6,followers500-1000
255,1,112,3,21,followers500-1000
256,59,682,51,14,followers500-1000
257,1,110,10,0,followers500-1000
258,21,422,51,4,followers500-1000
259,29,727,15,0,followers500-1000
260,0,572,52,11,followers500-1000
261,0,600,28,1,followers500-1000
262,52,536,20,1,followers500-1000
263,0,689,8,0,followers500-1000
264,1,339,258,1,followers500-1000
265,48,852,67,11,followers500-1000
266,4032,858,31,0,followers500-1000
267,1,478,23,6,followers500-1000
268,363,702,40,18,followers500-1000
269,25,437,29,0,followers500-1000
270,1970,722,112,10,followers500-1000
271,0,439,25,5,followers500-1000
272,333,316,27,2,followers500-1000
273,7,114,12,14,followers500-1000
274,17,739,21,0,followers500-1000
275,6,223,65,0,followers500-1000
276,13,457,57,13,followers500-1000
277,1,778,27,151,followers500-1000
278,261,373,38,1,followers500-1000
279,28,265,23,0,followers500-1000
280,2,301,8,0,followers500-1000
281,115,155,6,1,followers500-1000
282,12,242,22,0,followers500-1000
283,1,407,17,3,followers500-1000
284,41,741,11,24,followers500-1000
285,53,896,10,8,followers500-1000
286,63,899,98,66,followers500-1000
287,6,478,3,1,followers500-1000
288,179,158,426,15,followers500-1000
289,6,435,6,0,followers500-1000
290,5,686,84,28,followers500-1000
291,20,414,26,1,followers500-1000
292,10,453,77,0,followers500-1000
293,4,136,12,0,followers500-1000
294,0,183,21,0,followers500-1000
295,61,731,16,0,followers500-1000
296,43,747,20,0,followers500-1000
297,5,208,23,2,followers500-1000
298,0,463,17,7,followers500-1000
299,2,172,62,0,followers500-1000
300,51,850,63,107,followers1000-2000
301,0,103,9,0,followers1000-2000
302,91,521,51,23,followers1000-2000
303,3,605,22,0,followers1000-2000
304,0,152,4,0,followers1000-2000
305,5,806,33,17,followers1000-2000
306,5,289,22,8,followers1000-2000
307,3,464,16,1,followers1000-2000
308,208,396,54,10,followers1000-2000
309,124,558,66,22,followers1000-2000
310,0,743,48,6,followers1000-2000
311,27,482,87,4,followers1000-2000
312,34,833,56,19,followers1000-2000
313,82,858,184,20,followers1000-2000
314,39,166,30,8,followers1000-2000
315,0,465,65,77,followers1000-2000
316,4,594,20,0,followers1000-2000
